N_R,N_P,N_C,D_R,D_P,D_C,C_R,C_P,C_C,Correct
2,2,1,6,9,10,1,2,1,False
2,2,0,5,13,13,1,1,0,False
2,2,1,6,16,15,2,0,1,False
1,1,0,2,6,5,1,1,0,True
1,1,1,4,7,7,1,1,1,True
2,2,0,6,8,5,2,2,0,True
1,1,1,5,6,9,1,1,1,True
2,1,0,3,6,4,2,1,0,True
1,1,0,3,6,6,1,1,0,True
1,2,1,5,20,18,0,0,0,False
2,2,1,6,13,10,2,2,1,True
2,2,0,5,11,10,1,1,0,False
1,1,0,3,6,6,0,1,0,False
1,2,1,6,10,10,0,2,1,False
2,2,1,6,11,12,2,2,1,True
2,2,1,7,26,24,2,1,1,False
1,2,1,4,11,10,1,1,1,False
1,1,0,5,7,8,1,1,0,True
2,1,0,3,6,5,2,0,0,False
2,2,0,6,13,11,0,2,0,False
1,1,0,4,11,10,1,1,0,True
2,1,0,5,10,11,1,1,0,False
2,1,0,4,6,5,1,1,0,False
1,1,1,7,6,7,0,0,1,False
2,1,0,6,4,5,2,1,0,True
1,2,1,4,13,11,1,1,1,False
1,1,0,3,20,18,1,1,0,True
2,1,0,2,5,6,1,0,0,False
1,1,0,3,7,7,1,1,0,True
1,2,1,4,14,14,1,2,1,True
1,2,1,5,8,8,0,1,1,False
1,2,1,4,6,8,1,0,1,False
2,1,0,5,15,16,2,0,0,False
1,2,1,6,11,10,1,1,1,False
1,1,1,4,9,11,1,1,1,True
2,2,1,5,14,12,2,2,1,True
1,2,1,6,11,14,1,2,1,True
1,2,1,5,11,9,1,0,1,False
2,1,0,5,6,3,1,0,0,False
1,2,1,4,12,14,1,2,1,True
2,1,0,5,5,5,2,0,0,False
2,2,1,4,7,9,2,1,0,False
2,1,0,5,9,8,2,1,0,True
2,2,0,6,11,12,1,1,0,False
2,2,1,6,12,11,2,2,0,False
1,2,1,4,9,8,1,1,0,False
1,2,1,6,18,19,0,1,1,False
1,2,0,5,16,13,0,2,0,False
2,2,0,3,17,19,2,1,0,False
2,1,0,3,4,3,2,0,0,False
2,2,0,4,10,9,2,2,0,True
1,2,0,4,7,6,1,1,0,False
2,1,0,4,10,11,2,1,0,True
1,2,1,4,7,9,1,1,1,False
1,2,0,4,5,4,1,2,0,True
2,2,1,6,12,10,2,2,0,False
1,1,0,5,6,8,1,1,0,True
2,2,0,9,7,6,2,2,0,True
1,1,0,2,8,10,1,1,0,True
2,2,0,4,8,6,1,2,0,False
1,2,1,4,13,15,1,2,1,True
1,1,1,6,7,9,1,1,1,True
1,1,0,3,3,1,1,1,0,True
2,2,0,4,11,14,2,2,0,True
1,1,0,3,8,11,1,0,0,False
2,2,0,6,6,8,0,1,0,False
2,2,0,6,7,6,1,0,0,False
1,1,0,1,6,7,1,0,0,False
1,2,1,5,10,8,0,0,1,False
2,2,0,4,6,3,2,2,0,True
2,2,1,7,14,13,2,2,1,True
1,2,1,4,6,7,1,2,0,False
1,1,0,4,6,6,0,1,0,False
2,1,1,3,12,10,2,1,0,False
1,1,1,2,3,3,1,0,1,False
2,1,0,4,8,6,2,1,0,True
2,1,0,6,8,10,2,0,0,False
2,2,0,5,4,3,2,2,0,True
1,1,1,5,13,15,1,1,1,True
1,1,0,3,1,1,0,1,0,False
1,1,0,4,5,5,1,1,0,True
1,1,0,4,8,6,1,1,0,True
1,1,0,3,7,7,1,1,0,True
2,2,0,5,17,12,1,1,0,False
1,1,1,6,9,8,1,1,0,False
1,2,0,5,11,12,0,2,0,False
1,1,1,4,4,3,1,1,1,True
1,2,0,3,9,8,1,1,0,False
1,1,0,2,9,10,1,1,0,True
1,1,1,3,6,7,1,0,1,False
2,2,0,6,6,5,2,2,0,True
1,1,0,3,10,12,1,1,0,True
1,1,0,7,9,9,0,0,0,False
1,2,1,5,12,11,1,2,1,True
1,1,0,6,10,9,1,1,0,True
2,2,0,5,6,6,1,2,0,False
1,1,0,3,7,8,1,1,0,True
1,1,1,3,14,11,1,0,1,False
2,2,0,7,6,8,2,1,0,False
1,1,0,4,7,5,1,1,0,True
1,2,0,3,10,6,1,1,0,False
2,2,1,6,11,9,2,2,0,False
2,1,0,2,2,2,2,0,0,False
1,2,1,3,11,10,1,2,0,False
1,1,0,2,9,9,1,0,0,False
1,1,0,2,0,0,1,0,0,False
1,1,0,4,13,11,1,0,0,False
1,1,0,3,7,7,1,0,0,False
2,2,0,6,14,10,2,2,0,True
1,1,0,3,7,5,0,1,0,False
1,1,1,4,5,8,1,1,1,True
1,1,0,4,17,11,1,1,0,True
1,1,0,2,7,7,1,1,0,True
2,2,0,5,17,17,2,2,0,True
1,1,0,3,6,6,1,1,0,True
2,2,0,3,7,9,1,0,0,False
1,2,1,4,28,23,1,1,1,False
1,2,0,6,11,13,1,2,0,True
1,2,0,4,9,8,0,2,0,False
1,2,0,5,13,11,1,1,0,False
2,2,0,6,6,6,1,2,0,False
2,2,0,4,5,4,2,2,0,True
2,1,0,5,3,1,2,1,0,True
1,2,0,3,14,15,1,1,0,False
1,1,1,6,16,14,1,1,1,True
1,1,0,2,8,3,1,1,0,True
1,1,0,3,4,5,1,0,0,False
2,1,0,5,13,11,2,0,0,False
1,2,1,3,10,7,1,2,1,True
2,1,0,4,5,7,2,0,0,False
1,2,0,4,14,16,1,1,0,False
1,1,0,1,5,4,1,0,0,False
2,1,0,4,5,2,2,1,0,True
2,1,0,4,5,4,2,0,0,False
1,2,1,5,19,18,1,1,0,False
1,2,0,4,7,4,1,2,0,True
1,2,0,4,9,9,1,1,0,False
2,2,1,5,15,13,2,0,1,False
2,2,1,5,10,10,2,2,1,True
1,1,0,4,11,9,1,0,0,False
2,1,1,7,12,9,2,1,1,True
1,2,0,5,11,13,1,1,0,False
1,2,0,6,9,9,0,2,0,False
1,1,0,6,10,9,1,1,0,True
1,1,1,2,5,8,1,0,0,False
2,2,1,6,9,8,1,1,0,False
1,2,1,6,13,8,0,2,1,False
1,1,0,3,3,3,1,1,0,True
2,1,0,2,6,4,2,0,0,False
1,2,0,3,4,3,1,0,0,False
1,1,1,2,11,12,0,0,1,False
1,2,0,3,8,8,1,1,0,False
1,1,0,4,8,8,1,1,0,True
1,1,0,3,8,8,1,1,0,True
2,2,1,7,8,8,2,1,0,False
1,2,1,3,7,6,0,1,1,False
2,2,0,5,9,10,2,1,0,False
2,1,0,5,9,9,1,1,0,False
1,2,0,6,11,12,1,1,0,False
1,1,1,3,6,8,1,0,1,False
1,1,0,4,5,4,1,1,0,True
1,1,1,2,22,19,1,1,1,True
1,1,1,6,8,10,0,1,1,False
2,1,0,3,8,9,2,1,0,True
2,1,0,3,4,5,2,1,0,True
1,2,0,4,9,12,0,1,0,False
1,2,1,3,15,14,1,1,1,False
1,1,0,3,4,4,0,1,0,False
1,1,1,3,14,14,1,1,1,True
1,1,1,3,9,8,1,0,1,False
1,1,0,4,4,3,1,1,0,True
2,2,0,7,13,10,2,2,0,True
1,1,0,5,10,12,1,1,0,True
2,1,0,4,5,2,1,1,0,False
1,2,1,5,12,11,1,0,1,False
1,2,0,5,11,11,1,2,0,True
1,2,0,2,8,9,0,1,0,False
1,1,0,5,8,10,1,1,0,True
2,1,0,4,9,9,2,1,0,True
1,1,1,3,8,10,1,0,1,False
1,2,1,4,9,9,1,1,1,False
1,2,1,2,9,10,1,1,1,False
1,2,0,5,22,20,0,1,0,False
1,1,0,3,5,4,0,1,0,False
2,1,0,3,3,3,2,1,0,True
1,1,0,3,10,11,1,1,0,True
1,2,0,7,9,7,0,2,0,False
2,1,0,4,4,4,2,1,0,True
1,2,1,3,7,9,1,1,1,False
1,2,0,6,21,20,0,1,0,False
1,2,0,4,13,8,0,1,0,False
1,2,1,3,12,14,1,0,1,False
1,2,1,4,16,16,0,2,0,False
1,1,0,4,10,10,1,1,0,True
1,2,1,5,10,11,1,1,1,False
1,2,0,4,19,19,1,1,0,False
2,1,0,6,4,1,2,0,0,False
2,1,0,3,2,1,2,1,0,True
1,1,1,2,8,6,1,1,1,True
1,1,0,5,8,11,1,1,0,True
1,2,0,3,11,9,1,2,0,True
1,1,0,5,12,13,1,1,0,True
1,2,0,5,12,12,0,2,0,False
2,1,0,2,7,9,1,0,0,False
1,2,1,5,11,12,1,1,1,False
1,1,1,2,22,21,1,1,1,True
2,1,0,4,10,12,2,1,0,True
1,2,1,4,10,9,1,0,1,False
1,2,0,5,22,20,1,1,0,False
1,2,1,5,8,9,1,1,1,False
1,1,1,3,1,3,1,1,1,True
1,2,1,7,13,9,1,2,1,True
2,2,1,6,14,16,2,2,1,True
1,2,0,6,10,13,1,2,0,True
1,1,0,6,11,9,1,1,0,True
2,1,0,5,3,4,2,1,0,True
2,1,0,2,13,7,2,0,0,False
1,2,0,4,18,18,1,0,0,False
1,2,1,7,12,12,0,0,1,False
2,1,0,4,5,7,2,0,0,False
1,1,0,3,10,10,1,1,0,True
1,1,1,5,7,6,1,1,0,False
1,1,0,2,8,7,1,1,0,True
1,2,0,4,12,12,0,1,0,False
2,2,1,5,18,15,2,2,1,True
1,1,1,5,7,6,1,1,1,True
2,2,1,6,29,26,1,2,1,False
2,1,0,6,8,9,1,1,0,False
1,1,0,3,6,7,1,0,0,False
1,1,1,4,12,12,1,0,1,False
1,2,1,4,7,7,1,1,1,False
1,2,0,2,10,9,1,1,0,False
1,1,0,3,7,3,0,0,0,False
1,1,0,4,12,10,1,1,0,True
1,1,0,2,11,7,1,1,0,True
1,2,1,4,10,10,1,1,1,False
1,2,1,5,22,17,1,2,1,True
1,2,1,4,15,11,1,2,0,False
1,2,0,4,6,6,1,2,0,True
1,1,0,2,4,3,1,1,0,True
2,1,0,3,8,6,2,1,0,True
1,1,0,3,3,4,1,1,0,True
1,2,0,4,21,21,1,1,0,False
2,2,0,5,16,16,1,2,0,False
1,2,1,5,8,9,1,2,1,True
2,2,0,9,11,11,2,2,0,True
2,1,0,6,8,7,1,1,0,False
1,1,1,3,8,9,1,1,1,True
1,2,1,5,14,14,1,1,1,False
2,2,0,5,9,7,1,1,0,False
1,2,0,4,13,11,1,2,0,True
1,2,1,4,13,16,1,1,1,False
2,2,0,4,9,10,1,2,0,False
2,1,0,4,6,7,2,1,0,True
2,1,0,4,8,7,1,0,0,False
2,1,0,4,10,12,1,1,0,False
2,1,0,4,8,9,2,1,0,True
1,2,1,4,7,7,1,1,1,False
1,1,0,3,5,5,1,1,0,True
1,1,1,5,9,9,1,1,1,True
2,1,0,2,12,14,1,1,0,False
1,1,0,5,9,11,1,1,0,True
1,1,1,4,9,11,1,0,1,False
2,1,0,2,11,10,1,0,0,False
2,2,1,5,13,11,2,2,1,True
2,1,0,3,2,3,2,1,0,True
2,2,0,5,14,14,2,2,0,True
1,2,1,4,17,18,1,2,1,True
1,1,0,3,9,8,1,1,0,True
2,1,0,5,19,16,1,0,0,False
1,2,0,4,8,8,1,2,0,True
1,2,0,3,10,12,1,1,0,False
2,1,0,3,3,4,2,1,0,True
1,1,1,6,18,13,1,1,1,True
1,1,0,3,4,4,1,1,0,True
1,2,1,2,12,15,1,1,0,False
2,2,1,7,16,12,2,2,1,True
2,1,0,2,17,11,2,0,0,False
1,2,1,5,9,9,1,2,1,True
2,1,0,4,8,6,2,1,0,True
1,1,0,6,8,9,1,1,0,True
1,2,0,4,12,9,1,2,0,True
2,2,1,6,14,14,2,2,0,False
1,1,0,4,9,7,0,1,0,False
1,1,0,3,9,9,1,1,0,True
1,1,0,1,6,6,1,0,0,False
2,1,0,5,4,4,2,1,0,True
2,1,0,2,6,8,2,0,0,False
1,2,0,6,8,7,1,2,0,True
1,2,1,5,12,11,1,2,1,True
1,2,0,2,17,19,1,0,0,False
2,1,0,4,6,7,2,1,0,True
1,2,1,2,9,9,1,0,1,False
1,2,0,4,7,7,1,1,0,False
2,1,0,4,3,4,2,1,0,True
2,1,0,3,8,4,2,0,0,False
1,2,0,6,11,8,0,2,0,False
1,2,0,5,10,11,1,2,0,True
1,1,0,3,7,6,1,1,0,True
1,1,0,3,5,5,1,1,0,True
2,2,0,6,12,13,2,2,0,True
1,2,1,3,8,7,1,1,1,False
1,1,0,3,10,6,1,1,0,True
2,2,0,5,9,10,1,1,0,False
1,1,0,5,9,9,1,1,0,True
2,1,0,4,2,2,2,1,0,True
2,1,0,3,3,3,2,0,0,False
1,1,0,4,10,8,1,1,0,True
1,2,1,4,9,10,1,2,0,False
2,2,0,3,9,7,1,2,0,False
2,2,0,4,12,9,2,2,0,True
1,2,0,3,12,11,1,0,0,False
1,1,0,2,9,10,1,1,0,True
2,2,0,6,7,7,2,2,0,True
2,2,0,6,9,9,2,1,0,False
1,2,1,5,2,4,1,1,0,False
1,2,1,5,17,18,1,1,1,False
1,2,0,2,11,11,1,1,0,False
2,1,0,4,15,12,2,0,0,False
1,1,1,5,12,12,1,1,1,True
1,1,0,2,6,9,0,1,0,False
2,1,0,4,13,12,1,1,0,False
1,2,0,4,12,9,1,2,0,True
1,2,1,5,13,12,1,0,1,False
2,1,0,3,9,9,2,0,0,False
1,2,1,5,9,9,1,2,0,False
1,2,1,4,30,25,1,1,1,False
2,1,0,7,8,9,2,1,0,True
1,2,1,7,15,15,1,1,1,False
2,2,1,6,14,10,1,1,0,False
1,2,0,7,14,14,1,1,0,False
1,2,0,4,13,11,1,2,0,True
1,2,0,4,10,9,1,1,0,False
2,2,1,7,7,9,2,2,1,True
1,2,0,3,5,5,1,2,0,True
1,2,0,5,8,8,1,0,0,False
1,2,0,3,9,11,1,1,0,False
1,2,0,4,7,7,1,2,0,True
1,2,1,5,11,10,1,2,1,True
1,2,1,4,9,9,1,2,1,True
2,2,0,6,15,13,2,1,0,False
2,2,0,4,9,9,1,1,0,False
1,1,0,4,5,3,0,1,0,False
1,1,0,3,7,6,1,1,0,True
1,2,1,6,7,8,1,2,1,True
1,2,0,3,12,13,1,2,0,True
1,1,1,4,8,7,1,1,1,True
1,2,0,5,30,28,1,2,0,True
1,1,1,4,8,9,0,1,1,False
1,2,0,5,9,9,1,2,0,True
1,2,1,5,26,23,1,2,1,True
2,1,0,6,11,10,1,1,0,False
1,2,0,4,9,10,1,1,0,False
1,1,1,6,13,12,1,1,1,True
2,1,1,5,6,7,2,1,1,True
2,1,0,5,23,23,2,1,0,True
1,2,0,5,7,8,1,0,0,False
2,2,0,6,14,12,2,1,0,False
1,1,1,4,5,6,1,0,1,False
1,1,0,3,7,8,0,1,0,False
2,2,0,5,13,15,2,2,0,True
1,1,0,3,13,14,1,0,0,False
2,1,0,3,8,6,2,0,0,False
2,2,0,5,9,11,2,2,0,True
1,2,0,5,12,13,1,1,0,False
2,2,0,5,13,13,2,1,0,False
1,1,0,5,11,12,1,0,0,False
2,1,0,3,6,5,2,1,0,True
1,1,0,3,6,4,1,1,0,True
2,1,0,3,11,10,2,1,0,True
1,1,0,5,5,5,1,1,0,True
1,1,0,5,10,13,1,1,0,True
1,1,0,3,7,6,1,1,0,True
2,1,1,4,5,6,2,0,1,False
2,2,0,6,13,13,1,1,0,False
2,2,0,4,9,10,1,1,0,False
1,1,1,3,10,12,1,1,1,True
2,2,1,5,14,11,2,2,1,True
1,1,1,5,5,6,0,1,1,False
2,1,0,5,18,16,2,1,0,True
1,2,0,4,24,21,1,2,0,True
1,2,1,6,11,13,1,1,1,False
2,1,0,4,5,5,2,1,0,True
1,2,0,4,11,7,1,2,0,True
2,2,0,5,6,3,2,2,0,True
2,2,0,5,10,12,1,1,0,False
2,1,0,3,9,11,2,1,0,True
1,1,0,3,7,5,1,0,0,False
2,1,0,3,13,6,2,0,0,False
1,2,1,3,27,24,1,1,1,False
1,1,0,4,9,9,0,1,0,False
1,1,0,3,11,7,1,1,0,True
1,1,0,2,5,7,1,1,0,True
1,2,1,3,9,11,0,1,1,False
2,2,0,7,20,21,2,2,0,True
1,2,0,4,7,8,0,0,0,False
1,1,1,5,18,16,1,1,0,False
1,1,1,5,7,6,1,1,1,True
1,1,0,3,4,3,0,1,0,False
1,2,1,6,10,12,1,2,1,True
2,2,0,5,14,11,2,2,0,True
1,2,1,4,27,20,1,2,0,False
2,2,0,4,8,6,2,1,0,False
1,1,1,6,10,9,1,1,1,True
2,1,0,3,6,4,2,0,0,False
1,2,0,5,11,9,1,1,0,False
1,2,1,4,8,11,1,2,1,True
2,1,0,3,9,8,2,1,0,True
2,2,1,5,6,9,2,2,1,True
1,2,0,4,14,14,1,2,0,True
2,1,0,2,14,8,2,0,0,False
1,1,1,4,9,9,1,1,1,True
1,1,0,2,6,6,0,1,0,False
1,1,1,4,6,7,1,1,1,True
1,1,1,1,9,11,1,0,0,False
2,1,0,3,6,4,2,1,0,True
2,2,1,7,15,13,2,2,0,False
1,1,1,3,2,4,1,1,1,True
1,2,0,5,10,9,0,0,0,False
2,2,0,7,20,16,0,1,0,False
1,1,1,4,5,6,1,0,1,False
1,1,0,4,7,9,1,0,0,False
2,2,1,6,17,17,2,2,1,True
2,1,0,5,13,12,2,1,0,True
1,2,0,4,8,8,1,2,0,True
1,2,0,5,13,10,1,2,0,True
1,2,1,8,14,10,1,2,0,False
2,1,0,3,7,7,2,1,0,True
1,1,1,4,4,4,1,1,1,True
1,2,1,3,7,5,1,1,1,False
2,1,0,5,7,5,1,1,0,False
1,1,0,2,4,3,1,1,0,True
1,2,1,3,8,9,1,1,0,False
2,2,0,3,13,16,2,2,0,True
1,2,0,4,13,12,1,1,0,False
1,1,0,3,5,5,1,1,0,True
1,2,0,2,13,10,1,2,0,True
2,2,1,5,3,3,2,1,0,False
1,1,1,5,12,10,1,0,1,False
1,2,0,4,8,7,1,2,0,True
1,1,0,6,12,12,1,1,0,True
2,2,0,6,9,8,2,2,0,True
2,2,1,5,15,14,2,2,1,True
1,2,0,6,9,9,1,2,0,True
1,1,1,3,13,13,1,1,1,True
1,1,0,2,1,1,1,1,0,True
2,2,0,5,12,13,2,2,0,True
1,2,1,5,13,14,1,2,0,False
2,1,0,3,3,2,2,1,0,True
1,1,0,3,11,8,1,1,0,True
1,2,1,5,13,10,1,1,1,False
2,2,0,4,7,8,1,1,0,False
1,1,0,4,6,6,1,1,0,True
2,2,1,6,7,10,1,2,1,False
1,2,0,4,15,15,1,1,0,False
1,2,0,4,12,10,1,1,0,False
1,1,0,3,12,11,1,1,0,True
2,2,0,4,6,6,2,2,0,True
1,2,1,7,10,13,1,1,1,False
2,1,0,4,4,3,1,1,0,False
1,2,0,4,14,11,1,2,0,True
2,1,0,3,6,3,2,1,0,True
1,2,1,4,22,20,1,1,1,False
2,2,1,6,20,19,2,2,1,True
1,1,1,4,11,9,1,1,1,True
1,1,1,5,15,12,1,1,1,True
1,1,0,5,14,12,1,1,0,True
2,1,0,3,9,9,2,0,0,False
2,1,0,3,11,13,2,0,0,False
2,2,0,5,17,15,2,2,0,True
2,2,1,6,10,10,2,2,1,True
2,1,0,4,6,9,2,1,0,True
1,2,0,4,10,7,1,0,0,False
1,1,1,5,16,16,1,1,1,True
2,1,0,3,8,8,2,1,0,True
2,1,0,5,13,10,2,1,0,True
1,2,1,4,13,13,0,2,0,False
1,2,0,5,8,10,1,0,0,False
2,1,0,7,9,8,1,1,0,False
1,2,1,5,9,11,1,0,1,False
1,2,0,3,8,6,0,2,0,False
2,2,0,5,6,8,2,2,0,True
1,2,1,6,14,16,1,2,1,True
2,2,0,4,6,8,1,1,0,False
1,2,1,5,12,10,0,2,1,False
1,1,0,3,5,4,1,1,0,True
1,1,0,6,16,17,1,1,0,True
1,1,0,3,8,10,1,1,0,True
1,1,0,4,9,8,1,1,0,True
1,2,1,3,9,7,1,1,1,False
2,1,0,3,4,4,2,1,0,True
2,2,1,4,27,25,2,1,1,False
1,2,0,4,8,6,1,1,0,False
2,2,0,4,5,5,2,2,0,True
1,1,0,4,2,3,1,1,0,True
1,1,1,2,8,9,1,0,1,False
1,2,1,4,11,8,1,1,0,False
1,2,0,5,7,8,0,1,0,False
1,1,0,2,7,8,1,1,0,True
1,1,0,5,12,9,1,0,0,False
1,2,1,4,11,12,1,1,1,False
1,1,0,3,6,5,1,1,0,True
1,1,0,4,6,6,1,0,0,False
1,2,1,4,12,10,0,0,1,False
1,1,0,3,8,8,1,1,0,True
1,2,1,3,9,9,1,0,1,False
1,1,1,3,7,7,1,1,1,True
2,2,1,7,13,12,2,2,1,True
1,2,0,5,15,9,1,2,0,True
1,1,0,3,10,10,1,1,0,True
1,2,1,3,9,12,0,1,0,False
1,2,0,4,15,15,1,1,0,False
2,2,0,5,7,6,2,2,0,True
1,1,0,3,11,8,1,1,0,True
1,1,0,3,7,7,1,1,0,True
1,2,1,5,14,11,1,0,1,False
2,1,0,5,8,6,2,1,0,True
1,1,1,3,7,8,0,0,0,False
2,2,0,4,13,10,2,2,0,True
1,2,0,3,11,13,1,1,0,False
2,2,0,4,7,7,2,2,0,True
1,2,0,6,9,9,1,2,0,True
1,1,1,2,6,7,0,0,1,False
1,2,1,5,13,15,0,2,1,False
1,1,1,3,9,7,1,1,0,False
1,1,1,4,14,11,0,1,1,False
2,2,1,5,12,12,2,2,1,True
2,1,0,4,4,3,2,1,0,True
1,2,0,5,15,13,1,2,0,True
2,1,1,4,8,8,2,1,1,True
2,2,1,6,9,11,1,1,1,False
2,1,0,4,7,7,1,1,0,False
2,1,0,4,15,14,2,1,0,True
2,1,0,3,3,3,2,0,0,False
1,2,1,4,9,11,1,2,1,True
